location,location_code,geographic_level,time_period,school_type,applications_hk,offered_hk
County Durham,E06000047,localAuthority,2022 May,Total,0,0
County Durham,E06000047,localAuthority,2022 May,Primary,0,0
County Durham,E06000047,localAuthority,2022 May,Secondary,0,0
Darlington,E06000005,localAuthority,2022 May,Total,1,1
Darlington,E06000005,localAuthority,2022 May,Primary,1,1
Darlington,E06000005,localAuthority,2022 May,Secondary,0,0
Gateshead,E08000037,localAuthority,2022 May,Total,12,12
Gateshead,E08000037,localAuthority,2022 May,Primary,8,8
Gateshead,E08000037,localAuthority,2022 May,Secondary,4,4
Hartlepool,E06000001,localAuthority,2022 May,Total,2,2
Hartlepool,E06000001,localAuthority,2022 May,Primary,2,2
Hartlepool,E06000001,localAuthority,2022 May,Secondary,0,0
Middlesbrough,E06000002,localAuthority,2022 May,Total,0,0
Middlesbrough,E06000002,localAuthority,2022 May,Primary,0,0
Middlesbrough,E06000002,localAuthority,2022 May,Secondary,0,0
Newcastle upon Tyne,E08000021,localAuthority,2022 May,Total,0,0
Newcastle upon Tyne,E08000021,localAuthority,2022 May,Primary,0,0
Newcastle upon Tyne,E08000021,localAuthority,2022 May,Secondary,0,0
North Tyneside,E08000022,localAuthority,2022 May,Total,x,x
North Tyneside,E08000022,localAuthority,2022 May,Primary,x,x
North Tyneside,E08000022,localAuthority,2022 May,Secondary,x,x
Northumberland,E06000057,localAuthority,2022 May,Total,x,x
Northumberland,E06000057,localAuthority,2022 May,Primary,x,x
Northumberland,E06000057,localAuthority,2022 May,Secondary,x,x
Redcar and Cleveland,E06000003,localAuthority,2022 May,Total,0,0
Redcar and Cleveland,E06000003,localAuthority,2022 May,Primary,0,0
Redcar and Cleveland,E06000003,localAuthority,2022 May,Secondary,0,0
South Tyneside,E08000023,localAuthority,2022 May,Total,1,1
South Tyneside,E08000023,localAuthority,2022 May,Primary,1,1
South Tyneside,E08000023,localAuthority,2022 May,Secondary,0,0
Stockton-on-Tees,E06000004,localAuthority,2022 May,Total,6,6
Stockton-on-Tees,E06000004,localAuthority,2022 May,Primary,5,5
Stockton-on-Tees,E06000004,localAuthority,2022 May,Secondary,1,1
Sunderland,E08000024,localAuthority,2022 May,Total,0,0
